ICP,Component Serial number,Registry Channel Number,Read Date,12:01am-12:30am,12:31am-1:00am,1:01am-1:30am,1:31am-2:00am,2:01am-2:30am,2:31am-3:00am,3:01am-3:30am,3:31am-4:00am,4:01am-4:30am,4:31am-5:00am,5:01am-5:30am,5:31am-6:00am,6:01am-6:30am,6:31am-7:00am,7:01am-7:30am,7:31am-8:00am,8:01am-8:30am,8:31am-9:00am,9:01am-9:30am,9:31am-10:00am,10:01am-10:30am,10:31am-11:00am,11:01am-11:30am,11:31am-12:00pm,12:01pm-12:30pm,12:31pm-1:00pm,1:01pm-1:30pm,1:31pm-2:00pm,2:01pm-2:30pm,2:31pm-3:00pm,3:01pm-3:30pm,3:31pm-4:00pm,4:01pm-4:30pm,4:31pm-5:00pm,5:01pm-5:30pm,5:31pm-6:00pm,6:01pm-6:30pm,6:31pm-7:00pm,7:01pm-7:30pm,7:31pm-8:00pm,8:01pm-8:30pm,8:31pm-9:00pm,9:01pm-9:30pm,9:31pm-10:00pm,10:01pm-10:30pm,10:31pm-11:00pm,11:01pm-11:31pm,11:31pm-12:00am,Interval_49,Interval_50
0006034071RN1D0,251354585,2,2024-09-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0006034071RN1D0,251354585,1,2024-09-28,0.066,0.049,0.451,0.471,0.068,0.046,0.041,0.059,0.04,0.053,0.036,0.044,0.503,0.066,0.042,0.051,0.038,0.47,1.062,0.119,0.155,0.122,0.102,0.115,0.039,0.527,0.189,0.042,0.082,0.039,0.08,0.047,0.07,0.481,0.158,0.07,0.046,0.64,0.795,0.354,0.104,0.132,1.592,0.333,0.098,0.073,0.094,0.073,,
0006034071RN1D0,251354585,2,2024-09-27,0.902,0.045,0.071,0.04,0.046,0.059,0.037,0.065,0.528,0.038,0.061,0.037,0.034,0.041,0.056,0.123,0.083,0.059,0.612,0.177,0.071,0.15,0.067,0.06,0.046,0.517,0.043,0.075,0.045,0.07,0.062,0.054,0.062,0.863,0.137,0.11,0.097,0.12,0.186,0.115,0.102,0.1,1.887,0.334,0.104,0.074,0.108,0.078,,
0006034071RN1D0,251354585,1,2024-09-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0006034071RN1D0,251354585,2,2024-09-26,1.194,1.217,1.182,1.193,0.944,0.042,0.06,0.045,0.067,0.044,0.042,0.068,0.62,0.158,0.056,0.044,0.061,0.042,0.104,1.1,1.161,0.844,0.052,0.05,0.077,0.142,0.162,0.152,0.394,0.208,0.057,0.072,0.053,0.14,0.114,0.085,0.081,0.084,0.132,0.135,0.11,0.115,1.281,0.332,0.693,0.208,1.292,1.235,,
0006034071RN1D0,251354585,1,2024-09-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0006034071RN1D0,251354585,2,2024-09-25,0.058,0.055,0.045,0.067,0.037,0.059,0.044,0.543,0.068,0.08,0.072,0.034,0.056,0.149,0.042,0.045,0.066,0.094,0.671,0.043,0.051,0.078,0.034,0.06,0.056,0.044,0.199,0.56,0.083,0.063,0.07,0.068,0.058,0.077,0.057,0.067,0.053,0.063,0.115,0.141,0.119,0.255,2.166,0.9,0.116,0.11,1.095,1.445,,
0006034071RN1D0,251354585,1,2024-09-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0006034071RN1D0,251354585,2,2024-09-24,1.431,1.158,0.068,0.082,0.077,0.065,0.081,0.066,0.085,0.588,0.081,0.068,1.19,0.607,0.058,0.061,0.042,0.091,0.138,0.057,0.083,0.513,0.118,0.11,0.059,0.073,0.163,0.109,0.115,0.112,0.12,0.343,0.321,0.1,0.205,0.101,0.14,0.215,0.212,0.123,0.136,0.094,1.553,0.293,0.263,0.497,1.212,1.115,,
0006034071RN1D0,251354585,1,2024-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
